NAME,TEAM,BYE,AGE,POS,POS_RANK,ADP
Tyler Lockett,SEA,5,31,WR,WR18,42.9
Cooper Kupp,LAR,10,31,WR,WR19,45.2
Kenny Golladay,DET,9,30,WR,WR20,47.1
T.Y. Hilton,IND,11,34,WR,WR21,49
Tyler Boyd,CIN,7,29,WR,WR22,51.5
Josh Gordon,NE,11,33,WR,WR23,52.1
Calvin Ridley,ATL,11,29,WR,WR24,53.5
Mike Williams,LAC,5,29,WR,WR25,60.3
Dede Westbrook,JAX,9,30,WR,WR26,62.7
A.J. Green,CIN,7,35,WR,WR27,63.8
Jarvis Landry,CLE,5,31,WR,WR28,64.8
DJ Moore,CAR,7,27,WR,WR29,67.2
Alshon Jeffery,PHI,10,34,WR,WR30,71.9
Robbie Chosen,NYJ,7,31,WR,WR31,75.9
Allen Robinson II,CHI,13,30,WR,WR32,76.6
Emmanuel Sanders,DEN,9,37,WR,WR33,80.6
William Fuller V,HOU,7,30,WR,WR34,81.6
Curtis Samuel,CAR,7,27,WR,WR35,88
Christian Kirk,ARI,14,27,WR,WR36,89.9
Sterling Shepard,NYG,13,31,WR,WR37,92.2
Sammy Watkins,KC,10,31,WR,WR38,96.1
Geronimo Allison,GB,6,30,WR,WR39,98.7
Marquez Valdes-Scantling,GB,6,29,WR,WR40,100.6
James Washington,PIT,6,28,WR,WR41,101.3
Marvin Jones Jr.,DET,9,34,WR,WR42,105.3
Larry Fitzgerald,ARI,14,40,WR,WR43,106.5
Dante Pettis,SF,9,28,WR,WR44,109.8
Corey Davis,TEN,7,29,WR,WR45,110.8
Michael Gallup,DAL,7,28,WR,WR46,113.8
DeSean Jackson,PHI,10,37,WR,WR47,119.4
Donte Moncrief,PIT,6,30,WR,WR48,119.8
Golden Tate,NYG,13,35,WR,WR49,123.3
Courtland Sutton,DEN,9,28,WR,WR50,126.2
Jamison Crowder,NYJ,7,31,WR,WR51,128.8
Tyrell Williams,LV,13,32,WR,WR52,131.4
DK Metcalf,SEA,5,26,WR,WR53,131.8
Anthony Miller,CHI,13,29,WR,WR54,134.4
John Brown,BUF,13,34,WR,WR55,136.2
Mecole Hardman Jr.,KC,10,26,WR,WR56,137.7
Keke Coutee,HOU,7,27,WR,WR57,146.2
N'Keal Harry,NE,11,26,WR,WR58,151.8
Deebo Samuel Sr.,SF,9,28,WR,WR59,151.8
Devin Funchess,IND,11,30,WR,WR60,158.8
Cole Beasley,BUF,13,35,WR,WR61,159.6
Andy Isabella,ARI,14,27,WR,WR62,159.6
Mohamed Sanu,ATL,11,34,WR,WR63,160.7
Demaryius Thomas,NE,11,36,WR,WR64,161.4
