NAME,TEAM,POS,GP,PASS_YDS,PASS_TDS,INT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FPTSPG,TOTFPTS
James White,NE,RB,15,35,0,0,263,1,72,645,5,13.3,200.2
Phillip Lindsay,DEN,RB,16,0,0,0,1011,7,35,196,0,12.4,197.7
Devonta Freeman,ATL,RB,14,0,0,0,656,2,59,410,4,14.1,197.6
Josh Jacobs,LV,RB,13,0,0,0,1150,7,20,166,0,14.7,191.6
Marlon Mack,IND,RB,14,0,0,0,1091,8,14,82,0,13,181.3
Melvin Gordon III,LAC,RB,12,0,0,0,612,8,42,296,1,15.1,180.8
David Montgomery,CHI,RB,16,0,0,0,889,6,25,185,1,10.7,170.4
Ronald Jones,TB,RB,16,0,0,0,724,6,31,309,0,10.4,166.3
Raheem Mostert,SF,RB,16,0,0,0,772,8,14,180,2,10.3,165.2
Tarik Cohen,CHI,RB,16,0,0,0,213,0,79,456,3,10.2,163.9
Latavius Murray,NO,RB,16,0,0,0,637,5,34,235,1,9.8,157.2
Duke Johnson,HOU,RB,16,0,0,0,410,2,44,410,3,9.6,154
Carlos Hyde,HOU,RB,16,0,0,0,1070,6,10,42,0,9.6,153.2
Sony Michel,NE,RB,16,0,0,0,912,7,12,94,0,9.5,152.6
Devin Singletary,BUF,RB,12,0,0,0,775,2,29,194,2,12.3,147.9
Adrian Peterson,WAS,RB,15,0,0,0,898,5,17,142,0,9.8,147
Jamaal Williams,GB,RB,14,0,0,0,460,1,39,253,5,10.5,146.3
James Conner,PIT,RB,10,0,0,0,464,4,34,251,3,14.6,145.5
Royce Freeman,DEN,RB,16,0,0,0,496,3,43,256,1,8.9,142.2
David Johnson,ARI,RB,13,0,0,0,345,2,36,370,4,10.9,141.5
Damien Williams,KC,RB,11,0,0,0,498,5,30,213,2,12.8,141.1
Tevin Coleman,SF,RB,14,0,0,0,544,6,21,180,1,9.7,135.4
DeAndre Washington,LV,RB,16,0,0,0,387,3,36,292,0,7.6,121.9
LeSean McCoy,KC,RB,13,0,0,0,465,4,28,181,1,9.1,118.6
Peyton Barber,TB,RB,16,0,0,0,470,6,16,115,1,7.3,116.5
Jordan Howard,PHI,RB,10,0,0,0,525,6,10,69,1,11.1,111.4
Nyheim Hines,IND,RB,16,0,0,0,199,2,44,320,0,6.6,105.9
Jaylen Samuels,PIT,RB,14,35,0,1,175,1,47,305,1,7.5,104.4
Matt Breida,SF,RB,13,0,0,0,623,1,19,120,1,7.9,103.3
Kareem Hunt,CLE,RB,8,0,0,0,179,2,37,285,1,12.7,101.4
Rex Burkhead,NE,RB,13,0,0,0,302,3,27,279,0,7.8,101.1
Boston Scott,PHI,RB,11,0,0,0,245,5,24,204,0,8.8,96.9
Frank Gore,BUF,RB,16,0,0,0,599,2,13,100,0,5.9,94.9
Chris Thompson,WAS,RB,11,0,0,0,138,0,42,378,0,8.5,93.6
Gus Edwards,BAL,RB,16,0,0,0,711,2,7,45,0,5.8,92.6
Tony Pollard,DAL,RB,15,0,0,0,455,2,15,107,1,5.9,89.2
Kerryon Johnson,DET,RB,8,0,0,0,403,3,10,127,1,10.6,85
J.D. McKissic,DET,RB,16,0,0,0,205,0,34,233,1,5.2,83.8
Chase Edmonds,ARI,RB,13,0,0,0,303,4,12,105,1,6.4,82.8
Jalen Richard,LV,RB,16,0,0,0,145,0,36,323,0,5.2,82.8
Rashaad Penny,SEA,RB,10,0,0,0,370,3,8,83,1,7.5,75.3
Dare Ogunbowale,TB,RB,16,0,0,0,17,2,35,286,0,4.7,75.3
Alexander Mattison,MIN,RB,13,0,0,0,462,1,10,82,0,5.3,68.4
Giovani Bernard,CIN,RB,16,0,0,0,170,0,30,234,0,4.3,68.4
Patrick Laird,MIA,RB,15,0,0,0,168,1,23,204,0,4.5,68.2
Darrel Williams,KC,RB,10,0,0,0,141,3,15,167,1,6.8,67.8
Brian Hill,ATL,RB,12,0,0,0,323,2,10,69,1,5.6,67.2
Dion Lewis,TEN,RB,16,0,0,0,209,0,25,164,1,4.1,66.3
Ty Johnson,DET,RB,16,0,0,0,273,0,24,109,0,3.8,60.2
Malcolm Brown,LAR,RB,14,0,0,0,255,5,2,16,0,4.2,59.1
Benny Snell Jr.,PIT,RB,13,0,0,0,426,2,3,23,0,4.5,57.9
Derrius Guice,WAS,RB,5,0,0,0,245,2,7,79,1,11.5,57.4
Jordan Wilkins,IND,RB,14,0,0,0,307,2,7,43,0,3.9,54
Kalen Ballage,MIA,RB,12,0,0,0,135,3,14,63,0,4.3,51.8
Ryquell Armstead,JAX,RB,16,0,0,0,108,0,14,144,2,3.2,51.2
Brandon Bolden,NE,RB,15,0,0,0,68,3,9,111,1,3.4,50.9
Kyle Juszczyk,SF,FB,12,0,0,0,7,0,20,239,1,4.2,50.6
